timestamp,source_ip,destination_ip,protocol,port,event_type,failed_logins,connections,data_transfer,packet_size,request_frequency,authentication_status,user_account,host,severity_hint,anomaly_hint,scenario_id,bytes,risk_level
2026-09-01 08:00:12,192.168.1.60,192.168.1.20,TCP,443,Data Transfer,0,2,6330,1301,2,not_applicable,system,web-01,Low,False,baseline,6330,Low
2026-09-01 08:00:52,192.168.1.20,192.168.1.20,UDP,443,Normal Traffic,0,3,3877,889,6,not_applicable,system,web-01,Low,False,baseline,3877,Low
2026-09-01 08:01:24,45.142.212.55,192.168.1.20,TCP,3389,Suspicious Connection,0,8,9820,527,23,not_applicable,system,web-01,High,True,baseline,9820,High
2026-09-01 08:02:08,192.168.1.50,192.168.1.20,UDP,80,Normal Traffic,0,2,2417,349,1,not_applicable,system,web-01,Low,False,baseline,2417,Low
2026-09-01 08:02:42,192.168.1.60,192.168.1.20,UDP,443,Normal Traffic,0,1,3268,281,6,not_applicable,system,web-01,Low,False,baseline,3268,Low
2026-09-01 08:03:22,192.168.1.30,192.168.1.20,UDP,80,Normal Traffic,0,3,3486,956,6,not_applicable,system,web-01,Low,False,baseline,3486,Low
2026-09-01 08:03:39,192.168.1.30,192.168.1.30,TCP,443,Login Attempt,0,1,947,226,3,success,alex.chen,auth-01,Low,False,baseline,947,Low
2026-09-01 08:04:21,91.108.4.100,192.168.1.50,TCP,445,Malware Activity,0,6,29285,987,11,not_applicable,system,workstation-07,High,True,baseline,29285,High
2026-09-01 08:05:11,192.168.1.30,192.168.1.20,TCP,443,Normal Traffic,0,1,2475,242,5,not_applicable,system,web-01,Low,False,baseline,2475,Low
2026-09-01 08:05:41,192.168.1.30,192.168.1.20,UDP,443,Normal Traffic,0,3,2354,276,6,not_applicable,system,web-01,Low,False,baseline,2354,Low
2026-09-01 08:06:18,192.168.1.50,192.168.1.20,TCP,443,Normal Traffic,0,3,2345,985,6,not_applicable,system,web-01,Low,False,baseline,2345,Low
2026-09-01 08:06:44,192.168.1.60,192.168.1.20,TCP,443,Normal Traffic,0,2,956,1016,2,not_applicable,system,web-01,Low,False,baseline,956,Low
2026-09-01 08:07:29,91.108.4.100,192.168.1.20,TCP,3389,Suspicious Connection,0,10,13643,730,20,not_applicable,system,web-01,High,True,baseline,13643,High
2026-09-01 08:07:50,192.168.1.60,192.168.1.30,TCP,443,Login Attempt,0,1,904,503,3,success,alex.chen,auth-01,Low,False,baseline,904,Low
2026-09-01 08:08:04,192.168.1.20,192.168.1.20,TCP,443,Normal Traffic,0,2,2514,1040,4,not_applicable,system,web-01,Low,False,baseline,2514,Low
2026-09-01 08:08:15,192.168.1.60,192.168.1.20,TCP,443,Data Transfer,0,3,7653,1087,2,not_applicable,system,web-01,Low,False,baseline,7653,Low
2026-09-01 08:08:49,192.168.1.60,192.168.1.20,UDP,53,Normal Traffic,0,2,2352,1181,2,not_applicable,system,web-01,Low,False,baseline,2352,Low
2026-09-01 08:09:09,91.108.4.100,192.168.1.50,TCP,445,Malware Activity,0,4,13146,1275,8,not_applicable,system,workstation-07,High,True,baseline,13146,High
2026-09-01 08:09:57,185.220.101.10,192.168.1.50,TCP,445,Malware Activity,0,6,22562,788,13,not_applicable,system,workstation-07,High,True,baseline,22562,High
2026-09-01 08:10:28,45.142.212.55,192.168.1.50,TCP,445,Malware Activity,0,6,16940,992,16,not_applicable,system,workstation-07,High,True,baseline,16940,High
